YEAR,MONTH,MONTH_CATEGORY,WEEK,DAY_CATEGORY,AGE_BUCKET,GENDER,RACE,PROVINCE,TOTAL_RECORDS,TOTAL_VIEWTIME_MINUTES,TOTAL_VIEWTIME_HOURS,AVG_VIEWTIME_MINUTES,AVG_VIEWTIME_HOURS
2016,Feb,Normal_month,5,Weekday,Young Adulthood,male,white,EasternCape,2,29,0.48,14.5,0.24
2016,Feb,Normal_month,5,Weekday,Young Adulthood,male,white,FreeState,1,0,0,0,0
2016,Feb,Normal_month,5,Weekday,Young Adulthood,male,white,Gauteng,13,59,0.98,4.54,0.08
2016,Feb,Normal_month,5,Weekday,Young Adulthood,male,white,KwazuluNatal,3,6,0.1,2,0.03
2016,Feb,Normal_month,5,Weekday,Young Adulthood,male,white,Limpopo,1,36,0.6,36,0.6
2016,Feb,Normal_month,5,Weekday,Young Adulthood,male,white,Mpumalanga,3,21,0.35,7,0.12
2016,Feb,Normal_month,5,Weekday,Young Adulthood,male,white,NorthWest,3,8,0.13,2.67,0.04
2016,Feb,Normal_month,5,Weekday,Young Adulthood,male,white,WesternCape,1,9,0.15,9,0.15
2016,Feb,Normal_month,5,Weekday,Young Old,male,black,EasternCape,1,2,0.03,2,0.03
2016,Feb,Normal_month,5,Weekday,Young Old,male,coloured,WesternCape,1,2,0.03,2,0.03
2016,Feb,Normal_month,5,Weekend,Adolescence,male,other,EasternCape,1,0,0,0,0
2016,Feb,Normal_month,5,Weekend,Childhood,None,None,None,1,0,0,0,0
2016,Feb,Normal_month,5,Weekend,Middle Adulthood,female,black,EasternCape,2,0,0,0,0
2016,Feb,Normal_month,5,Weekend,Middle Adulthood,female,coloured,WesternCape,1,0,0,0,0
2016,Feb,Normal_month,5,Weekend,Middle Adulthood,male,None,FreeState,1,10,0.17,10,0.17
2016,Feb,Normal_month,5,Weekend,Middle Adulthood,male,None,Gauteng,2,0,0,0,0
2016,Feb,Normal_month,5,Weekend,Middle Adulthood,male,None,KwazuluNatal,1,2,0.03,2,0.03
2016,Feb,Normal_month,5,Weekend,Middle Adulthood,male,None,Mpumalanga,2,6,0.1,3,0.05
2016,Feb,Normal_month,5,Weekend,Middle Adulthood,male,black,EasternCape,2,3,0.05,1.5,0.03
